image,name,price
gameloot.in/wp-content/uploads/2020/07/Project-Cars-3-300x343.jpg,Project Cars 3 PS4,"Rs. 3,999"
gameloot.in/wp-content/uploads/2020/07/Project-Cars-3-300x343.jpg,Project Cars 3 PS4 (Pre-owned),"Rs. 3,499"
gameloot.in/wp-content/uploads/2020/07/UFC-300x343.jpg,UFC 4 PS4 (Pre-owned),"Rs. 3,499"
gameloot.in/wp-content/uploads/2020/07/NBA-300x343.jpg,NBA 2K21 PS4,"Rs. 3,999"
gameloot.in/wp-content/uploads/2019/09/MAPS4-300x343.jpg,Marvels Avengers PS4,"Rs. 3,999"
gameloot.in/wp-content/uploads/2020/07/NBA-300x343.jpg,NBA 2K21 PS4 (Pre-owned),"Rs. 3,249"
gameloot.in/wp-content/uploads/2020/07/F1-300x343.jpg,F1 2020 PS4 (Pre owned),"Rs. 3,299"
gameloot.in/wp-content/uploads/2019/09/The-Sinking-city-300x343.jpg,The Sinking City PS4 (Pre-owned),"Rs. 3,199"
gameloot.in/wp-content/uploads/2020/03/Ghost-of-Tsushima-PS4-300x343.jpg,Ghost of Tsushima PS4 (Pre-owned),"Rs. 3,099"
gameloot.in/wp-content/uploads/2019/09/MAPS4-300x343.jpg,Marvels Avengers PS4 (Pre-owned),"Rs. 3,099"
gameloot.in/wp-content/uploads/2020/02/Nioh-2-PS4-300x343.jpg,Nioh 2 PS4,"Rs. 3,999"
gameloot.in/wp-content/uploads/2019/09/Shenmue-3-ps4-300x343.jpg,Shenmue III PS4,"Rs. 3,499"